trade_id,trade_date,ticker,side,quantity,fill_price
1,2023-01-04,V,BUY,1,241.95
2,2023-01-05,CAT,BUY,3,278.13
3,2023-01-06,JPM,BUY,14,148.2
4,2023-01-09,WMT,BUY,8,159.09
5,2023-01-09,AAPL,BUY,13,186.06
6,2023-01-10,WMT,SELL,5,159.15
7,2023-01-17,KO,BUY,15,61.34
8,2023-01-17,XOM,BUY,6,112.96
9,2023-01-19,BAC,BUY,11,33.48
10,2023-01-19,BA,BUY,9,196.23
11,2023-01-20,PG,BUY,2,149.02
12,2023-01-20,CVX,BUY,6,149.88
13,2023-01-23,XOM,BUY,14,104.81
14,2023-01-23,JNJ,BUY,1,160.29
15,2023-01-24,TSLA,BUY,10,197.62
16,2023-01-26,TSLA,SELL,6,204.8
17,2023-01-27,CVX,BUY,13,148.98
18,2023-01-30,TSLA,BUY,9,204.6
19,2023-01-31,GOOG,BUY,9,152.4
20,2023-02-01,WMT,BUY,7,150.84
21,2023-02-03,HD,BUY,4,355.98
22,2023-02-06,V,BUY,3,249.93
23,2023-02-07,TSLA,BUY,12,227.57
24,2023-02-08,JPM,BUY,1,135.04
25,2023-02-10,MSFT,BUY,3,351.11
26,2023-02-17,JPM,BUY,13,138.47
27,2023-02-20,AAPL,BUY,2,177.38
28,2023-02-20,BAC,BUY,13,30.17
29,2023-02-28,AMZN,BUY,4,154.19
30,2023-03-03,HD,SELL,3,346.13
31,2023-03-03,HD,BUY,13,343.32
32,2023-03-08,AMZN,BUY,5,147.45
33,2023-03-10,BA,SELL,8,186.55
34,2023-03-15,JPM,BUY,1,149.93
35,2023-03-15,XOM,SELL,19,103.41
36,2023-03-17,PG,BUY,4,150.26
37,2023-03-17,NVDA,BUY,13,488.27
38,2023-03-21,BAC,BUY,11,30.73
39,2023-03-23,PG,BUY,6,152.64
40,2023-03-24,CVX,BUY,10,178.04
41,2023-03-28,PFE,BUY,8,21.79
42,2023-03-31,GOOG,BUY,15,169.35
43,2023-03-31,CVX,SELL,8,169.57
44,2023-04-03,WMT,BUY,13,161.13
45,2023-04-06,TSLA,BUY,8,319.4
46,2023-04-07,KO,SELL,3,61.27
47,2023-04-07,V,BUY,4,255.83
48,2023-04-11,CVX,BUY,1,174.09
49,2023-04-11,TSLA,BUY,13,361.27
50,2023-04-13,AMZN,BUY,8,127.2
51,2023-04-21,KO,BUY,8,60.66
52,2023-04-21,PFE,BUY,10,22.83
53,2023-04-26,AMZN,SELL,7,124.03
54,2023-04-28,MSFT,BUY,13,316.37
55,2023-04-28,TSLA,BUY,6,408.99
56,2023-05-03,PFE,BUY,11,23.0
57,2023-05-04,PG,SELL,3,161.46
58,2023-05-04,V,BUY,5,271.42
59,2023-05-08,BA,BUY,9,202.87
60,2023-05-10,BA,SELL,1,212.6
61,2023-05-22,NVDA,BUY,9,423.23
62,2023-05-22,XOM,BUY,8,130.2
63,2023-05-25,JPM,SELL,9,144.17
64,2023-05-30,CVX,BUY,9,191.03
65,2023-05-30,JNJ,SELL,1,157.41
66,2023-06-01,PFE,BUY,3,21.19
67,2023-06-01,JPM,BUY,2,132.67
68,2023-06-08,HD,SELL,14,366.75
69,2023-06-12,PG,BUY,11,156.82
70,2023-06-13,PG,SELL,16,158.26
71,2023-06-20,UNH,BUY,13,504.92
72,2023-06-22,XOM,SELL,4,123.25
73,2023-06-28,JPM,BUY,15,123.59
74,2023-06-30,CAT,BUY,6,366.44
75,2023-06-30,UNH,BUY,15,515.37
76,2023-07-04,WMT,BUY,11,134.82
77,2023-07-10,MSFT,BUY,8,286.42
78,2023-07-13,BAC,BUY,12,33.21
79,2023-07-17,AMZN,SELL,10,146.84
80,2023-07-17,PFE,BUY,12,19.12
81,2023-07-18,BA,SELL,1,176.71
82,2023-07-18,HD,BUY,14,319.22
83,2023-07-28,XOM,SELL,3,114.74
84,2023-07-28,KO,SELL,10,70.43
85,2023-07-31,CVX,SELL,16,185.68
86,2023-07-31,MSFT,BUY,13,268.81
87,2023-08-01,BAC,BUY,10,33.58
88,2023-08-03,JPM,BUY,3,134.85
89,2023-08-07,HD,BUY,15,294.28
90,2023-08-09,JNJ,BUY,6,165.41
91,2023-08-11,WMT,BUY,9,135.76
92,2023-08-15,NVDA,SELL,13,446.94
93,2023-08-15,V,SELL,11,353.47
94,2023-08-16,BAC,BUY,8,33.11
95,2023-08-16,AAPL,SELL,7,144.77
96,2023-08-17,PG,SELL,2,158.44
97,2023-08-17,CAT,BUY,2,423.48
98,2023-08-18,JPM,BUY,10,134.32
99,2023-08-18,PFE,SELL,37,18.94
100,2023-08-21,V,SELL,2,350.01
101,2023-08-25,AAPL,SELL,5,139.6
102,2023-08-30,BA,SELL,5,193.41
103,2023-08-30,WMT,BUY,2,142.23
104,2023-09-01,AMZN,BUY,5,146.39
105,2023-09-04,BAC,BUY,15,31.38
106,2023-09-19,XOM,SELL,2,117.27
107,2023-09-19,NVDA,BUY,11,534.52
108,2023-09-28,CAT,BUY,8,456.78
109,2023-10-04,UNH,BUY,8,501.79
110,2023-10-04,BAC,BUY,2,28.75
111,2023-10-06,AMZN,BUY,15,185.88
112,2023-10-09,GOOG,BUY,11,230.43
113,2023-10-10,WMT,SELL,20,147.06
114,2023-10-18,WMT,BUY,9,145.7
115,2023-10-18,GOOG,BUY,5,234.49
116,2023-10-20,V,BUY,11,361.35
117,2023-10-20,TSLA,SELL,17,299.08
118,2023-10-27,AMZN,BUY,9,169.62
119,2023-10-27,V,BUY,3,366.21
120,2023-10-30,BAC,SELL,21,30.34
121,2023-10-30,CVX,BUY,15,205.01
122,2023-10-31,HD,BUY,6,293.19
123,2023-11-02,GOOG,BUY,1,243.53
124,2023-11-02,MSFT,BUY,15,327.68
125,2023-11-03,AMZN,BUY,10,181.38
126,2023-11-03,BAC,SELL,61,30.66
127,2023-11-09,KO,SELL,1,56.84
128,2023-11-10,UNH,BUY,7,561.93
129,2023-11-13,PFE,BUY,3,15.47
130,2023-11-16,UNH,BUY,1,552.6
131,2023-11-16,CAT,BUY,1,423.43
132,2023-11-21,HD,BUY,15,311.5
133,2023-11-24,KO,BUY,2,55.99
134,2023-11-27,AAPL,BUY,7,123.47
135,2023-11-30,AAPL,BUY,11,130.17
136,2023-12-01,KO,BUY,8,56.1
137,2023-12-04,XOM,BUY,2,133.79
138,2023-12-07,UNH,BUY,4,598.18
139,2023-12-11,NVDA,BUY,1,655.14
140,2023-12-18,PFE,BUY,6,16.43
141,2023-12-20,GOOG,BUY,3,228.05
142,2023-12-20,V,BUY,12,351.27
143,2023-12-21,PG,BUY,15,146.58
144,2023-12-22,MSFT,BUY,8,337.3
145,2023-12-26,KO,BUY,3,55.4
146,2024-01-02,JPM,SELL,1,108.68
147,2024-01-03,BAC,BUY,11,32.78
148,2024-01-03,CVX,BUY,4,174.62
149,2024-01-08,TSLA,BUY,5,269.65
150,2024-01-09,TSLA,SELL,4,271.13
151,2024-01-09,KO,SELL,9,57.32
152,2024-01-15,PG,BUY,5,142.69
153,2024-01-18,JNJ,BUY,2,189.07
154,2024-01-18,TSLA,BUY,13,313.97
155,2024-01-19,NVDA,BUY,2,588.75
156,2024-01-19,PFE,BUY,8,15.46
157,2024-01-22,PFE,BUY,1,15.37
158,2024-01-25,HD,BUY,13,272.11
159,2024-01-30,XOM,BUY,1,146.67
160,2024-01-30,CAT,SELL,2,459.55
161,2024-02-05,NVDA,SELL,22,609.22
162,2024-02-05,BA,BUY,7,120.31
163,2024-02-07,PFE,BUY,4,16.13
164,2024-02-09,BAC,SELL,4,30.19
165,2024-02-12,CAT,BUY,6,426.39
166,2024-02-19,AAPL,BUY,7,131.58
167,2024-02-20,NVDA,SELL,1,532.84
168,2024-02-20,MSFT,SELL,30,317.89
169,2024-02-21,CAT,BUY,3,412.95
170,2024-02-27,AAPL,SELL,7,126.4
171,2024-02-27,CAT,BUY,10,408.23
172,2024-02-29,BA,BUY,6,126.24
173,2024-03-01,AAPL,BUY,10,124.82
174,2024-03-04,BA,BUY,6,132.04
175,2024-03-06,WMT,SELL,11,140.44
176,2024-03-07,NVDA,BUY,15,559.03
177,2024-03-07,CAT,BUY,8,422.73
178,2024-03-12,BAC,SELL,5,33.07
179,2024-03-12,PFE,BUY,14,15.37
180,2024-03-15,NVDA,BUY,10,520.25
181,2024-03-18,WMT,SELL,13,139.52
182,2024-03-19,GOOG,SELL,33,226.66
183,2024-03-21,NVDA,BUY,15,554.95
184,2024-04-04,BA,BUY,11,112.68
185,2024-04-05,HD,BUY,2,314.62
186,2024-04-08,PG,BUY,7,139.48
187,2024-04-08,TSLA,SELL,29,316.31
188,2024-04-09,KO,BUY,2,54.38
189,2024-04-12,BA,BUY,12,103.91
190,2024-04-19,GOOG,BUY,5,272.76
191,2024-05-01,CAT,BUY,6,341.85
192,2024-05-06,XOM,BUY,14,152.86
193,2024-05-07,CVX,SELL,7,136.79
194,2024-05-09,CVX,BUY,15,136.41
195,2024-05-14,GOOG,BUY,10,273.37
196,2024-05-20,MSFT,BUY,8,311.68
197,2024-05-21,XOM,SELL,17,138.86
198,2024-05-23,BA,BUY,9,100.49
199,2024-05-24,CVX,SELL,1,144.53
200,2024-05-24,BA,BUY,14,96.68
201,2024-05-27,V,BUY,13,324.87
202,2024-06-03,CVX,BUY,12,144.1
203,2024-06-04,PFE,SELL,6,16.21
204,2024-06-07,GOOG,BUY,13,302.25
205,2024-06-07,MSFT,SELL,33,298.61
206,2024-06-14,JPM,SELL,2,92.72
207,2024-06-19,PFE,BUY,5,15.89
208,2024-06-21,WMT,SELL,8,160.84
209,2024-06-21,JPM,SELL,34,94.03
210,2024-06-26,HD,SELL,57,353.21
211,2024-07-03,TSLA,BUY,13,205.22
212,2024-07-04,AAPL,BUY,10,171.32
213,2024-07-09,PFE,BUY,3,16.31
214,2024-07-09,CAT,BUY,11,365.5
215,2024-07-15,JNJ,BUY,1,204.77
216,2024-07-15,UNH,SELL,10,553.69
217,2024-07-16,JNJ,BUY,4,205.44
218,2024-07-17,AAPL,BUY,8,179.12
219,2024-07-19,BA,BUY,13,116.23
220,2024-07-23,AAPL,BUY,5,176.89
221,2024-07-24,PG,BUY,13,149.19
222,2024-08-01,PFE,BUY,6,17.62
223,2024-08-05,GOOG,SELL,6,274.49
224,2024-08-06,BAC,BUY,11,31.56
225,2024-08-07,AAPL,SELL,3,178.96
226,2024-08-08,BA,BUY,8,120.18
227,2024-08-09,CVX,BUY,7,134.33
228,2024-08-09,NVDA,BUY,12,643.33
229,2024-08-14,XOM,BUY,13,140.15
230,2024-08-14,MSFT,SELL,3,306.57
231,2024-08-15,V,BUY,1,356.02
232,2024-08-16,NVDA,SELL,26,663.21
233,2024-08-19,AMZN,BUY,8,169.73
234,2024-08-26,UNH,BUY,2,599.61
235,2024-08-26,TSLA,BUY,5,200.82
236,2024-09-03,CVX,SELL,47,131.23
237,2024-09-09,PFE,BUY,7,16.1
238,2024-09-10,CVX,BUY,1,135.74
239,2024-09-11,CVX,BUY,13,135.97
240,2024-09-11,NVDA,SELL,15,791.63
241,2024-09-12,HD,BUY,7,382.8
242,2024-09-16,CAT,BUY,1,359.11
243,2024-09-19,JNJ,BUY,1,181.24
244,2024-09-25,KO,BUY,4,55.43
245,2024-09-26,AMZN,BUY,10,168.19
246,2024-10-01,WMT,BUY,13,182.87
247,2024-10-02,BA,BUY,1,117.73
248,2024-10-08,CVX,SELL,19,146.1
249,2024-10-09,NVDA,SELL,1,793.8
250,2024-10-10,MSFT,BUY,10,294.61
251,2024-10-11,JNJ,SELL,8,181.42
252,2024-10-11,JNJ,SELL,2,181.57
253,2024-10-15,HD,BUY,12,427.47
254,2024-10-23,TSLA,BUY,9,163.76
255,2024-10-25,GOOG,SELL,6,265.98
256,2024-10-25,GOOG,BUY,2,265.47
257,2024-10-28,JPM,BUY,3,97.69
258,2024-10-28,GOOG,BUY,2,275.76
259,2024-10-29,PFE,BUY,2,16.15
260,2024-10-29,XOM,SELL,3,155.41
261,2024-11-04,UNH,BUY,7,604.11
262,2024-11-05,PFE,BUY,6,16.31
263,2024-11-05,MSFT,BUY,7,310.49
264,2024-11-07,V,BUY,5,346.78
265,2024-11-08,BA,SELL,55,106.42
266,2024-11-14,GOOG,SELL,30,293.33
267,2024-11-18,TSLA,SELL,35,181.9
268,2024-11-18,JNJ,BUY,10,177.86
269,2024-11-19,CVX,BUY,14,141.87
270,2024-11-20,GOOG,BUY,7,294.54
271,2024-11-22,UNH,SELL,23,597.33
272,2024-11-27,CAT,BUY,1,338.11
273,2024-11-28,PG,BUY,15,157.8
274,2024-11-28,JNJ,SELL,5,181.2
275,2024-11-29,WMT,BUY,9,191.61
276,2024-11-29,PFE,BUY,5,15.39
277,2024-12-02,KO,BUY,4,50.12
278,2024-12-02,CVX,BUY,4,143.44
279,2024-12-03,JNJ,BUY,5,185.45
280,2024-12-03,JPM,SELL,10,88.34
281,2024-12-04,CVX,SELL,26,145.02
282,2024-12-11,GOOG,BUY,15,293.0
283,2024-12-11,HD,BUY,14,381.3
284,2024-12-12,NVDA,BUY,8,883.88
285,2024-12-12,BAC,BUY,2,38.48
286,2024-12-13,AMZN,SELL,51,184.74
287,2024-12-17,AAPL,BUY,7,193.51
288,2024-12-19,UNH,SELL,5,638.61
289,2024-12-27,JPM,SELL,6,95.26
290,2024-12-31,JNJ,BUY,11,193.86
291,2024-12-31,AMZN,SELL,4,180.92
292,2025-01-01,CAT,BUY,1,333.44
293,2025-01-01,UNH,SELL,5,651.91
294,2025-01-09,TSLA,SELL,2,173.38
295,2025-01-09,PG,BUY,6,164.29
296,2025-01-16,NVDA,BUY,8,887.11
297,2025-01-22,XOM,BUY,9,186.97
298,2025-01-27,JNJ,SELL,4,193.41
299,2025-01-29,CVX,BUY,5,135.47
300,2025-01-29,GOOG,BUY,5,290.23
301,2025-01-30,AAPL,BUY,14,218.63
302,2025-01-30,MSFT,BUY,4,310.87
303,2025-02-03,MSFT,BUY,8,323.76
304,2025-02-03,PFE,BUY,10,14.02
305,2025-02-06,BA,SELL,7,110.72
306,2025-02-11,HD,BUY,8,365.73
307,2025-02-11,PG,BUY,14,159.2
308,2025-02-19,UNH,BUY,8,709.56
309,2025-02-25,V,BUY,2,302.52
310,2025-02-25,V,BUY,1,302.94
311,2025-03-04,KO,SELL,18,54.81
312,2025-03-06,UNH,BUY,7,709.33
313,2025-03-19,CAT,BUY,6,315.31
314,2025-03-19,KO,SELL,5,53.49
315,2025-03-21,JPM,BUY,13,106.97
316,2025-03-24,CVX,SELL,2,147.05
317,2025-03-26,WMT,BUY,7,212.3
318,2025-03-27,BA,BUY,10,102.52
319,2025-03-27,JNJ,BUY,5,220.62
320,2025-03-28,V,SELL,22,276.05
321,2025-03-28,JNJ,BUY,12,218.45
322,2025-03-31,MSFT,BUY,11,328.21
323,2025-03-31,PFE,BUY,12,12.1
324,2025-04-04,CAT,BUY,5,272.07
325,2025-04-11,PFE,BUY,2,12.94
326,2025-04-11,AAPL,SELL,33,192.38
327,2025-04-14,BA,SELL,17,118.95
328,2025-04-16,NVDA,SELL,24,583.21
329,2025-04-16,GOOG,BUY,9,353.34
330,2025-04-21,NVDA,SELL,2,636.93
331,2025-04-28,JNJ,SELL,16,215.61
332,2025-04-30,GOOG,BUY,3,364.37
333,2025-04-30,MSFT,BUY,3,305.44
334,2025-05-05,TSLA,BUY,5,186.78
335,2025-05-05,GOOG,SELL,8,374.14
336,2025-05-06,AAPL,BUY,11,191.32
337,2025-05-08,XOM,BUY,5,233.12
338,2025-05-12,AMZN,BUY,12,212.52
339,2025-05-15,BAC,SELL,7,48.69
340,2025-05-15,BA,BUY,9,133.06
341,2025-05-20,CAT,SELL,56,289.15
342,2025-05-23,NVDA,BUY,5,650.6
343,2025-05-26,CVX,BUY,7,149.66
344,2025-05-28,GOOG,BUY,9,351.82
345,2025-06-02,PFE,BUY,9,12.1
346,2025-06-03,JPM,SELL,11,92.69
347,2025-06-04,PFE,BUY,2,11.85
348,2025-06-13,AAPL,BUY,6,178.49
349,2025-06-16,UNH,BUY,2,665.36
350,2025-06-19,AAPL,BUY,11,185.11
351,2025-06-20,V,BUY,8,240.25
352,2025-06-24,UNH,SELL,10,675.56
353,2025-06-27,TSLA,BUY,8,217.26
354,2025-06-27,PG,BUY,11,181.53
355,2025-07-01,UNH,BUY,5,655.28
356,2025-07-01,PG,BUY,11,182.33
357,2025-07-04,JPM,BUY,5,90.99
358,2025-07-04,PFE,BUY,6,12.49
359,2025-07-11,PG,SELL,52,186.39
360,2025-07-11,UNH,SELL,16,683.1
361,2025-07-17,JNJ,BUY,6,253.93
362,2025-07-18,GOOG,BUY,6,462.9
363,2025-07-18,NVDA,BUY,14,941.89
364,2025-07-21,CAT,BUY,3,307.1
365,2025-07-23,AMZN,SELL,1,246.58
366,2025-07-24,TSLA,SELL,23,243.62
367,2025-07-28,CAT,BUY,14,329.09
368,2025-07-28,AAPL,BUY,9,188.3
369,2025-07-29,V,BUY,3,243.44
370,2025-07-29,MSFT,BUY,13,272.37
371,2025-07-30,WMT,SELL,13,215.99
372,2025-07-31,MSFT,BUY,1,271.34
373,2025-07-31,TSLA,BUY,4,250.83
374,2025-08-06,CAT,BUY,13,337.88
375,2025-08-07,AMZN,SELL,8,275.25
376,2025-08-07,GOOG,BUY,1,509.95
377,2025-08-08,PG,SELL,38,201.85
378,2025-08-11,PFE,BUY,1,12.31
379,2025-08-11,AAPL,SELL,6,182.1
380,2025-08-12,JPM,BUY,12,95.95
381,2025-08-12,XOM,BUY,5,191.41
382,2025-08-13,PG,SELL,4,205.74
383,2025-08-19,AMZN,SELL,1,253.0
384,2025-08-26,BA,BUY,7,120.26
385,2025-08-28,PG,SELL,2,205.49
386,2025-08-28,TSLA,BUY,4,259.18
387,2025-09-02,JNJ,BUY,10,268.61
388,2025-09-04,NVDA,BUY,11,1246.37
389,2025-09-08,BA,BUY,4,124.96
390,2025-09-10,NVDA,BUY,14,1303.78
391,2025-09-11,HD,BUY,15,428.51
392,2025-09-12,AAPL,BUY,13,183.03
393,2025-09-12,HD,SELL,19,420.06
394,2025-09-16,JNJ,SELL,10,279.57
395,2025-09-23,V,BUY,13,269.61
396,2025-09-24,BA,SELL,4,110.28
397,2025-09-25,PFE,BUY,15,11.62
398,2025-09-25,AAPL,BUY,12,180.55
399,2025-09-29,AAPL,SELL,89,177.73
400,2025-09-30,CAT,BUY,7,352.33
401,2025-09-30,GOOG,SELL,12,491.75
402,2025-10-01,V,SELL,5,283.95
403,2025-10-01,KO,BUY,7,60.06
404,2025-10-02,WMT,SELL,7,214.58
405,2025-10-03,CAT,BUY,4,349.9
406,2025-10-07,V,BUY,1,284.43
407,2025-10-07,HD,BUY,4,383.55
408,2025-10-08,TSLA,BUY,1,407.43
409,2025-10-08,GOOG,BUY,6,511.25
410,2025-10-10,AAPL,BUY,12,197.52
411,2025-10-14,GOOG,BUY,12,500.97
412,2025-10-15,CAT,BUY,12,370.02
413,2025-10-15,BA,SELL,26,127.67
414,2025-10-16,MSFT,BUY,9,321.44
415,2025-10-17,NVDA,SELL,18,1202.17
416,2025-10-20,XOM,SELL,27,178.75
417,2025-10-23,AAPL,BUY,1,210.31
418,2025-10-23,KO,SELL,3,62.17
419,2025-10-24,KO,BUY,4,62.56
420,2025-10-29,AMZN,BUY,3,244.48
421,2025-10-31,XOM,BUY,7,181.98
422,2025-11-03,CVX,BUY,11,167.9
423,2025-11-07,BA,SELL,8,145.88
424,2025-11-07,UNH,BUY,14,601.41
425,2025-11-14,PG,BUY,13,188.44
426,2025-11-14,AAPL,BUY,12,203.81
427,2025-11-17,PFE,BUY,4,10.69
428,2025-11-18,MSFT,BUY,14,337.68
429,2025-11-18,HD,SELL,22,368.53
430,2025-11-20,KO,BUY,15,62.14
431,2025-11-21,WMT,BUY,6,213.17
432,2025-11-21,MSFT,SELL,77,348.14
433,2025-11-27,AMZN,BUY,1,264.55
434,2025-11-27,AMZN,BUY,6,264.3
435,2025-12-01,JNJ,BUY,9,282.59
436,2025-12-02,HD,SELL,26,377.38
437,2025-12-03,TSLA,BUY,8,333.33
438,2025-12-04,PG,BUY,12,190.33
439,2025-12-11,BA,SELL,2,146.44
440,2025-12-11,BAC,SELL,3,53.03
441,2025-12-17,AMZN,SELL,9,302.83
442,2025-12-17,WMT,BUY,6,217.97
443,2025-12-18,PG,BUY,12,190.39
444,2025-12-22,MSFT,BUY,14,357.11
445,2025-12-22,JPM,BUY,14,93.92
446,2025-12-25,PG,BUY,15,188.99
447,2025-12-25,CVX,BUY,3,159.16
448,2025-12-31,MSFT,BUY,6,340.9
449,2025-12-31,UNH,BUY,8,582.49
